dataset_name,term,frequency,prediction_length,avg_context_length,num_series,status
LOOP_SEATTLE/5T,short,5T,48,104112.0,323,success
LOOP_SEATTLE/5T,medium,5T,480,95040.0,323,success
LOOP_SEATTLE/5T,long,5T,720,93600.0,323,success
LOOP_SEATTLE/D,short,D,30,275.0,323,success
LOOP_SEATTLE/H,short,H,48,7800.0,323,success
LOOP_SEATTLE/H,medium,H,480,7320.0,323,success
LOOP_SEATTLE/H,long,H,720,6600.0,323,success
M_DENSE/D,short,D,30,610.0,30,success
M_DENSE/H,short,H,48,16512.0,30,success
M_DENSE/H,medium,H,480,15120.0,30,success
M_DENSE/H,long,H,720,14640.0,30,success
SZ_TAXI/15T,short,15T,48,2592.0,156,success
SZ_TAXI/15T,medium,15T,480,2016.0,156,success
SZ_TAXI/15T,long,15T,720,1536.0,156,success
SZ_TAXI/H,short,H,48,600.0,156,success
bitbrains_fast_storage/5T,short,5T,48,7728.0,1000,success
bitbrains_fast_storage/5T,medium,5T,480,7200.0,1000,success
bitbrains_fast_storage/5T,long,5T,720,6480.0,1000,success
bitbrains_fast_storage/H,short,H,48,577.0,1000,success
bitbrains_rnd/5T,short,5T,48,7728.0,500,success
bitbrains_rnd/5T,medium,5T,480,7200.0,500,success
bitbrains_rnd/5T,long,5T,720,6480.0,500,success
bitbrains_rnd/H,short,H,48,576.0,500,success
bizitobs_application,short,10S,60,7874.0,1,success
bizitobs_application,medium,10S,600,7034.0,1,success
bizitobs_application,long,10S,900,7034.0,1,success
bizitobs_l2c/5T,short,5T,48,30960.0,1,success
bizitobs_l2c/5T,medium,5T,480,28128.0,1,success
bizitobs_l2c/5T,long,5T,720,27648.0,1,success
bizitobs_l2c/H,short,H,48,2328.0,1,success
bizitobs_l2c/H,medium,H,480,1704.0,1,success
bizitobs_l2c/H,long,H,720,1224.0,1,success
bizitobs_service,short,10S,60,7875.0,21,success
bizitobs_service,medium,10S,600,7035.0,21,success
bizitobs_service,long,10S,900,7035.0,21,success
car_parts_with_missing,short,M,12,27.0,1000,success
covid_deaths,short,D,30,152.0,266,success
electricity/15T,short,15T,48,139248.0,370,success
electricity/15T,medium,15T,480,130176.0,370,success
electricity/15T,long,15T,720,125136.0,370,success
electricity/D,short,D,30,1281.0,370,success
electricity/H,short,H,48,34056.0,370,success
electricity/H,medium,H,480,30744.0,370,success
electricity/H,long,H,720,30744.0,370,success
electricity/W,short,W-FRI,8,176.0,370,success
ett1/15T,short,15T,48,68672.0,1,success
ett1/15T,medium,15T,480,62000.0,1,success
ett1/15T,long,15T,720,61760.0,1,success
ett1/D,short,D,30,605.0,1,success
ett1/H,short,H,48,16412.0,1,success
ett1/H,medium,H,480,15020.0,1,success
ett1/H,long,H,720,14540.0,1,success
ett1/W,short,W-THU,8,79.0,1,success
ett2/15T,short,15T,48,68672.0,1,success
ett2/15T,medium,15T,480,62000.0,1,success
ett2/15T,long,15T,720,61760.0,1,success
ett2/D,short,D,30,605.0,1,success
ett2/H,short,H,48,16412.0,1,success
ett2/H,medium,H,480,15020.0,1,success
ett2/H,long,H,720,14540.0,1,success
ett2/W,short,W-THU,8,79.0,1,success
hierarchical_sales/D,short,D,30,1585.0,118,success
hierarchical_sales/W,short,W-WED,8,220.0,118,success
hospital,short,M,12,60.0,767,success
jena_weather/10T,short,10T,48,51696.0,1,success
jena_weather/10T,medium,10T,480,46944.0,1,success
jena_weather/10T,long,10T,720,46224.0,1,success
jena_weather/D,short,D,30,276.0,1,success
jena_weather/H,short,H,48,7824.0,1,success
jena_weather/H,medium,H,480,7344.0,1,success
jena_weather/H,long,H,720,6624.0,1,success
kdd_cup_2018_with_missing/D,short,D,30,364.7814814814815,270,success
kdd_cup_2018_with_missing/H,short,H,48,9889.644444444444,270,success
kdd_cup_2018_with_missing/H,medium,H,480,9457.644444444444,270,success
kdd_cup_2018_with_missing/H,long,H,720,8737.644444444444,270,success
m4_daily,short,D,14,2192.233,1000,success
m4_hourly,short,H,48,805.864734299517,414,success
m4_monthly,short,M,18,296.634,1000,success
m4_quarterly,short,Q-DEC,8,64.549,1000,success
m4_weekly,short,W-SUN,13,1009.0389972144847,359,success
m4_yearly,short,A-DEC,6,28.881,1000,success
restaurant,short,D,30,298.4919454770756,807,success
saugeenday/D,short,D,30,23111.0,1,success
saugeenday/M,short,M,12,684.0,1,success
saugeenday/W,short,W-THU,8,3223.0,1,success
solar/10T,short,10T,48,51552.0,137,success
solar/10T,medium,10T,480,46800.0,137,success
solar/10T,long,10T,720,46080.0,137,success
solar/D,short,D,30,275.0,137,success
solar/H,short,H,48,7800.0,137,success
solar/H,medium,H,480,7320.0,137,success
solar/H,long,H,720,6600.0,137,success
solar/W,short,W-FRI,8,36.0,137,success
temperature_rain_with_missing,short,D,30,605.0,1000,success
us_births/D,short,D,30,6675.0,1,success
us_births/M,short,M,12,204.0,1,success
us_births/W,short,W-TUE,8,923.0,1,success
