dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,eval_metrics/MSE[mean]_all,eval_metrics/MAE[0.5]_all,eval_metrics/RMSE[mean]_all,eval_metrics/MAPE[0.5]_all,eval_metrics/sMAPE[0.5]_all,eval_metrics/MSE[mean]_valid,eval_metrics/MAE[0.5]_valid,eval_metrics/RMSE[mean]_valid,eval_metrics/MAPE[0.5]_valid,eval_metrics/sMAPE[0.5]_valid,eval_metrics/MASE[0.5],eval_metrics/MSIS,eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,qwen2.5-7B-instruct-openrouter,540,540,0,1.0000,3609.108245853633,24.193511291515655,60.07585410007612,0.7843221667130158,0.5088750763192665,3609.108245853633,24.193511291515655,60.07585410007612,0.7843221667130158,0.5088750763192665,1.4170619437525371,21.090210085699038,1.3457628808593476,0.5419603256831933,0.46275377680900553,Nature,1
restaurant/D/short,qwen2.5-7B-instruct-openrouter,807,807,0,1.0000,11006.107878332255,9.754559457436756,104.90999894353376,0.9789203053896959,0.4903576824232669,11006.107878332255,9.754559457436756,104.90999894353376,0.9789203053896959,0.4903576824232669,0.9121110117430999,17.30063101378038,4.8282012254066915,0.4489274273184181,0.4323218829723711,Sales,1
hierarchical_sales/W/short,qwen2.5-7B-instruct-openrouter,472,472,0,1.0000,521.9377118644069,10.037341101694915,22.845956138109145,0.6702190290050845,0.5111965810732377,521.9377118644069,10.037341101694915,22.845956138109145,0.6702190290050845,0.5111965810732377,0.8577653582608125,20.785833668722347,1.0488690210889167,0.4608192396075237,0.41896455527591014,Sales,1
solar/W/short,qwen2.5-7B-instruct-openrouter,137,137,0,1.0000,4212848.423336534,1741.3257723323627,2052.5224537959466,0.4079667756078058,0.3193329975511299,4212848.423336534,1741.3257723323627,2052.5224537959466,0.4079667756078058,0.3193329975511299,1.9597598164613046,46.28571641379948,0.41897114841365585,0.3554481254259237,0.31527383688207017,Energy,1
m4_hourly/H/short,qwen2.5-7B-instruct-openrouter,414,414,0,1.0000,132002273.30019942,1539.6077425546384,11489.224225342607,0.7928339946863785,0.43253265288136894,132002273.30019942,1539.6077425546384,11489.224225342607,0.7928339946863785,0.43253265288136894,16.328578329282458,275.35360258253877,1.568532705156898,0.21019044018506997,0.18126176920874568,Econ/Fin,1
hospital/M/short,qwen2.5-7B-instruct-openrouter,767,767,0,1.0000,4995.692594524121,22.739135158626684,70.68021359987617,0.21793409562088478,0.19269806033373213,4995.692594524121,22.739135158626684,70.68021359987617,0.21793409562088478,0.19269806033373213,0.8682313316513377,17.5103602173124,0.2565855883146518,0.0825483409752009,0.07131936432809084,Healthcare,1
m_dense/D/short,qwen2.5-7B-instruct-openrouter,90,0,90,0.0000,745833.4567130996,577.6513872393855,863.6164986341447,1.0,2.0,745833.4567130996,577.6513872393855,863.6164986341447,1.0,2.0,7.501404124155814,300.0561649662326,1.495047904749799,0.9999999971444657,0.9999999971444655,Transport,1
sz_taxi/H/short,qwen2.5-7B-instruct-openrouter,312,312,0,1.0000,231.4600706380041,7.541697172535798,15.21381183786641,2.918999346247197,0.6047225130125804,231.4600706380041,7.541697172535798,15.21381183786641,2.918999346247197,0.6047225130125804,2.3291628311650734,85.35912714979658,1.4172604554228592,0.7025556305886546,0.6894608823051901,Transport,1
m_dense/D/short,qwen2.5-7B-instruct-openrouter,90,90,0,1.0000,25541.005327084164,93.93580695340418,159.8155353120721,0.2486463507235726,0.1911972970554396,25541.005327084164,93.93580695340418,159.8155353120721,0.2486463507235726,0.1911972970554396,1.3653473754211467,23.012911912851393,0.27666433143955027,0.1626167767623471,0.13557311793541438,Transport,1
m4_weekly/W/short,qwen2.5-7B-instruct-openrouter,359,359,0,1.0000,1531234.0128949601,638.9182798221697,1237.4304072936627,0.3166890056939649,0.16495234930828997,1531234.0128949601,638.9182798221697,1237.4304072936627,0.3166890056939649,0.16495234930828997,6.799954424185353,271.7011913304946,0.22544064333027194,0.11640100905036029,0.11639763048742933,Econ/Fin,1
